Lexus RX/$13700  1161709сом/"https://im.mashina.kg/tachka/images//3/f/1/3f132496b0bd159f2396a8eabb9efdad_240x180.jpg"/2005г.,3.3л.,автоматвнедорожник5дв.,бензинрульслева,231101кмЕстьотчетпоVIN-кодуЕстьCarfax,AutocheckотчетпроверкиавтопоVINкодуВыможетекупитьотчётсисториейэтогоавтомобилянастраницеобъявления.ПодробнееБишкек1д.назад
BMW X6/$38500  3264658сом/"https://im.mashina.kg/tachka/images//3/0/d/30df00287382e10fc0b4087ad9a30214_240x180.jpg"/2015г.,3л.,автоматвнедорожник5дв.,бензинрульслева,164000кмЕстьотчетпоVIN-кодуЕстьCarfax,AutocheckотчетпроверкиавтопоVINкодуВыможетекупитьотчётсисториейэтогоавтомобилянастраницеобъявления.ПодробнееБишкек4ч.назад
Lexus LX/$34500  2925472сом/"https://im.mashina.kg/tachka/images//2/e/b/2eb72432888cfc3b8e1a2a90ac75c057_240x180.jpg"/2011г.,5.7л.,автоматвнедорожник5дв.,бензинрульслева,180000кмБишкек4ч.назад
Toyota Camry/$22200  1882478сом/"https://im.mashina.kg/tachka/images//7/3/b/73b9956a469eb568c9e2204284efaebd_240x180.jpg"/2018г.,2.5л.,автоматседан,бензинрульслева,55300кмБишкек48мин.назад
Lexus RX/$8400  712289сом/"https://im.mashina.kg/tachka/images//e/3/f/e3f929fe496a10b85d4b58dde90badb0_240x180.jpg"/2002г.,3л.,автоматвнедорожник5дв.,бензинрульслеваТокмок5ч.назад
Toyota Highlander/$28000  2374296сом/"https://im.mashina.kg/tachka/images//7/2/f/72f33d9f06c79c9a054dd8ff8638ec1b_240x180.jpg"/2015г.,3.5л.,автоматвнедорожник5дв.,бензинрульслева,311054кмЕстьотчетпоVIN-кодуЕстьCarfax,AutocheckотчетпроверкиавтопоVINкодуВыможетекупитьотчётсисториейэтогоавтомобилянастраницеобъявления.ПодробнееБишкек5ч.назад
Honda Odyssey (North America)/$18000  1526333сом/"https://im.mashina.kg/tachka/images//3/f/5/3f5ed0d5eb41dfee2c32861e5e92a33e_240x180.jpg"/2015г.,3.5л.,автоматминивэн,бензинрульслева,172410кмБишкек5ч.назад
Toyota Estima/$9500  805565сом/"https://im.mashina.kg/tachka/images//0/0/f/00f91c5964980686a7b3064eb29ebe44_240x180.jpg"/2005г.,3л.,автоматминивэн,бензинрульсправа,107000кмБишкек5ч.назад
Toyota Camry/$18700  1585691сом/"https://im.mashina.kg/tachka/images//f/9/e/f9e6c0b45a68cc9c9a0992fe3ccd8133_240x180.jpg"/2017г.,2.5л.,автоматседан,бензинрульслева,85000кмБишкек5ч.назад
Mercedes-Benz Viano/$14000  1187148сом/"https://im.mashina.kg/tachka/images//5/4/d/54dbd920f62b532f6094864bb051708b_240x180.jpg"/2008г.,2.1л.,автоматминивэн,дизельрульслева,329000кмБишкек5ч.назад
